ref_code,activity_name,geography,ref_product,ref_unit,ref_amount,impact_category,cf_unit,characterization_factor,method,database,capital,pathway,source
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,marine ecotoxicity potential (METP),"kg 1,4-DCB-Eq",0.0364756523697129,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,terrestrial ecotoxicity potential (TETP),"kg 1,4-DCB-Eq",5.760360159351099,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,fossil fuel potential (FFP),kg oil-Eq,0.086770053037492,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,freshwater eutrophication potential (FEP),kg P-Eq,3.682664457429477e-05,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,marine eutrophication potential (MEP),kg N-Eq,6.37674678744972e-06,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,human toxicity potential (HTPc),"kg 1,4-DCB-Eq",0.08761151062201068,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,human toxicity potential (HTPnc),"kg 1,4-DCB-Eq",0.2587755051332252,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,ionising radiation potential (IRP),kBq Co-60-Eq,0.005512635156997582,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,agricultural land occupation (LOP),m2*a crop-Eq,0.006450571376606744,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,surplus ore potential (SOP),kg Cu-Eq,0.007823576920314447,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,ozone depletion potential (ODPinfinite),kg CFC-11-Eq,1.178945265675121e-07,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,particulate matter formation potential (PMFP),kg PM2.5-Eq,0.0002443539625959706,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,photochemical oxidant formation potential: humans (HOFP),kg NOx-Eq,0.0004512725855351678,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,photochemical oxidant formation potential: ecosystems (EOFP),kg NOx-Eq,0.0005198946471578059,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,water consumption potential (WCP),m3,0.0006884568874991893,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,total water extraction,m3,0.00714023585362402,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
