country,country_code,region,income_group,skill_level,wage_usd_year,unit,capital,pathway,source
Bangladesh,BGD,South Asia,Lower middle income,high,3986.0853631982554,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bulgaria,BGR,Europe & Central Asia,Upper middle income,low,3739.1566718354957,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bulgaria,BGR,Europe & Central Asia,Upper middle income,medium,6815.564616207934,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bulgaria,BGR,Europe & Central Asia,Upper middle income,high,20898.975074797916,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bahrain,BHR,Middle East & North Africa,High income,low,6569.643979438214,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bahrain,BHR,Middle East & North Africa,High income,medium,12005.730289065603,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bahrain,BHR,Middle East & North Africa,High income,high,29515.27517620641,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
"Bahamas, The",BHS,Latin America & Caribbean,High income,low,9272.390806958869,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
"Bahamas, The",BHS,Latin America & Caribbean,High income,medium,21150.37972445952,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
"Bahamas, The",BHS,Latin America & Caribbean,High income,high,87528.79578745908,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,low,2225.2435267603796,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,medium,4125.97237253487,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,high,10116.074190733043,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Belarus,BLR,Europe & Central Asia,Upper middle income,low,2694.422014679679,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Belarus,BLR,Europe & Central Asia,Upper middle income,medium,4301.255006577492,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Belarus,BLR,Europe & Central Asia,Upper middle income,high,9240.824112304614,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Belize,BLZ,Latin America & Caribbean,Upper middle income,low,1410.5740144026759,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Belize,BLZ,Latin America & Caribbean,Upper middle income,medium,3105.8510408866255,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
