country,country_code,region_wb,income_level,hui_daly_per_work_year,living_wage_usd_year,hui_daly_per_usd,hui_usd_per_usd,unit,capital,pathway,source
Thailand,THA,East Asia & Pacific,Upper middle income,0.339,10164.719625483467,8.337662338224014e-06,0.4956406753580647,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,0.65,12056.00071176178,1.3478764964028721e-05,0.8012586620516513,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Togo,TGO,Sub-Saharan Africa,Low income,0.816,8887.807714331784,2.2952791797131875e-05,1.3644516611723014,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Tonga,TON,East Asia & Pacific,Upper middle income,0.434,14997.789438113845,7.234399472516211e-06,0.4300561110431987,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,0.305,11043.617202736903,6.904440691868894e-06,0.4104413813688383,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Tunisia,TUN,Middle East & North Africa,Lower middle income,0.407,5531.414360723929,1.8394933621766018e-05,1.0935052240795027,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Turkey,TUR,Europe & Central Asia,Upper middle income,0.09,7263.8921531485485,3.0975129483781404e-06,0.18413475472928695,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,0.452,11888.054769105245,9.505339788109417e-06,0.5650544290439524,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Uganda,UGA,Sub-Saharan Africa,Low income,0.763,5681.627504220873,3.35731266891911e-05,1.995788089165654,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Ukraine,UKR,Europe & Central Asia,Lower middle income,0.336,6921.770167848888,1.213562397523307e-05,0.721414302831705,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
United Arab Emirates,ARE,Middle East & North Africa,High income,0.134,21657.948693905855,1.5467762193668082e-06,0.09194965913647928,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
United Kingdom,GBR,Europe & Central Asia,High income,0.093,20024.52610462246,1.1610761662236278e-06,0.06902133377732979,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
United States,USA,North America,High income,0.125,26428.426170528077,1.1824389314127509e-06,0.07029126471676239,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Uruguay,URY,Latin America & Caribbean,High income,0.267,14720.037434948774,4.5346352069404435e-06,0.26956592451178163,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,0.443,9626.3369143663,1.1504895474281315e-05,0.683920016364127,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Vanuatu,VUT,East Asia & Pacific,Lower middle income,0.645,21915.760263122876,7.357718740487023e-06,0.4373869482469916,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
"Venezuela, RB",VEN,Latin America & Caribbean,0,0.459,8323.256911654233,1.3786670436584379e-05,0.8195624107731949,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Vietnam,VNM,East Asia & Pacific,Lower middle income,0.472,9436.252453927746,1.250496429341329e-05,0.7433701073862464,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
